rank,openalex_id,doi,title,year,venue,authors,cited_by_count,url,source_query,relevance_score,novelty_pressure,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract,concepts,keywords
986,https://openalex.org/W4389142832,https://doi.org/10.3390/app132312796,Robot Operating System 2 (ROS2)-Based Frameworks for Increasing Robot Autonomy: A Survey,2023,Applied Sciences,Andrea Bonci; Francesco Gaudeni; Maria Giannini; Sauro Longhi,55,https://www.mdpi.com/2076-3417/13/23/12796/pdf?version=1701244662,robot tactile occlusion hidden geometry manipulation,15.245,15.245,support robot perception/manipulation with tactile or contact information,learning/control,a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"sensor calibration, object rigidity, training distribution, task geometry",can succeed in-distribution while failing under adversarial hidden geometry swaps,tactile information improving robot perception or manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Future challenges in manufacturing will require automation systems with robots that are increasingly autonomous, flexible, and hopefully equipped with learning capabilities. The flexibility of production processes can be increased by using a combination of a flexible human worker and intelligent automation systems. The adoption of middleware software such as ROS2, the second generation of the Robot Operating System, can enable robots, automation systems, and humans to work together on tasks that require greater autonomy and flexibility. This paper has a twofold objective. Firstly, it provides an extensive review of existing literature on the features and tools currently provided by ROS2 and its main fields of application, in order to highlight the enabling aspects for the implementation of modular architectures to increase autonomy in industrial operations. Secondly, it shows how this is currently potentially feasible in ROS2 by proposing a possible high-level and modular architecture to increase autonomy in industrial operations. A proof of concept is also provided, where the ROS2-based framework is used to enable a cobot equipped with an external depth camera to perform a flexible pick-and-place task.",Modular design; Automation; Flexibility (engineering); Robot; Computer science; Autonomy; Systems engineering; Task (project management); Architecture; Middleware (distributed applications); Software engineering; Humancomputer interaction,Modular design; Automation; Flexibility (engineering); Robot; Computer science; Autonomy; Systems engineering; Task (project management); Architecture; Middleware (distributed applications); Software engineering; Humancomputer interaction
987,https://openalex.org/W4412895370,https://doi.org/10.3390/machines13080666,"Artificial Intelligence-Driven and Bio-Inspired Control Strategies for Industrial Robotics: A Systematic Review of Trends, Challenges, and Sustainable Innovations Toward Industry 5.0",2025,Machines,Claudio Urrea,11,https://www.mdpi.com/2075-1702/13/8/666/pdf?version=1753868763,robot tactile perception object shape reconstruction,15.238,15.238,support robot perception/manipulation with tactile or contact information,sensor/dataset; learning/control,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"sensor calibration, object rigidity, training distribution, task geometry",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can succeed in-distribution while failing under adversarial hidden geometry swaps,new tactile datasets or sensors as the core contribution,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Industrial robots are undergoing a transformative shift as Artificial Intelligence (AI)-driven and bio-inspired control strategies unlock new levels of precision, adaptability, and multi-dimensional sustainability aligned with Industry 5.0 (energy efficiency, material circularity, and life-cycle emissions). This systematic review analyzes 160 peer-reviewed industrial robotics control studies (20232025), including an expanded bio-inspired/human-centric subset, to evaluate: (1) the dominant and emerging control methodologies; (2) the transformative role of digital twins and 5G-enabled connectivity; and (3) the persistent technical, ethical, and environmental challenges. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines, the study employs a rigorous methodology, focusing on adaptive control, deep reinforcement learning (DRL), humanrobot collaboration (HRC), and quantum-inspired algorithms. The key findings highlight up to 30% latency reductions in real-time optimization, up to 22% efficiency gains through digital twins, and up to 25% energy savings from bio-inspired designs (all percentage ranges are reported relative to the comparator baselines specified in the cited sources). However, critical barriers remain, including scalability limitations (with up to 40% higher computational demands) and cybersecurity vulnerabilities (with up to 20% exposure rates). The convergence of AI, bio-inspired systems, and quantum computing is poised to enable sustainable, autonomous, and human-centric robotics, yet requires standardized sa",Robotics; Artificial intelligence; Control (management); Engineering; Manufacturing engineering; Computer science; Robot,Robotics; Artificial intelligence; Control (management); Engineering; Manufacturing engineering; Computer science; Robot
988,https://openalex.org/W3175380940,https://doi.org/10.1609/aaai.v35i7.16756,I3DOL: Incremental 3D Object Learning without Catastrophic Forgetting,2021,Proceedings of the AAAI Conference on Artificial Intelligence,Jiahua Dong; Yang Cong; Gan Sun; Bingtao Ma; Lichen Wang,24,https://ojs.aaai.org/index.php/AAAI/article/download/16756/16563,robot tactile perception object shape reconstruction,15.194,20.194,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"3D object classification has attracted appealing attentions in academic researches and industrial applications. However, most existing methods need to access the training data of past 3D object classes when facing the common real-world scenario: new classes of 3D objects arrive in a sequence. Moreover, the performance of advanced approaches degrades dramatically for past learned classes (i.e., catastrophic forgetting), due to the irregular and redundant geometric structures of 3D point cloud data. To address these challenges, we propose a new Incremental 3D Object Learning (i.e., I3DOL) model, which is the first exploration to learn new classes of 3D object continually. Specifically, an adaptive-geometric centroid module is designed to construct discriminative local geometric structures, which can better characterize the irregular point cloud representation for 3D object. Afterwards, to prevent the catastrophic forgetting brought by redundant geometric information, a geometric-aware attention mechanism is developed to quantify the contributions of local geometric structures, and explore unique 3D geometric characteristics with high contributions for classes incremental learning. Meanwhile, a score fairness compensation strategy is proposed to further alleviate the catastrophic forgetting caused by unbalanced data between past and new classes of 3D object, by compensating biased prediction for new classes in the validation phase. Experiments on 3D representative datasets validate the superiority of our I3DOL framework.",Forgetting; Point cloud; Computer science; Object (grammar); Discriminative model; Artificial intelligence; Representation (politics); Geometric data analysis; Centroid; Construct (python library); Point (geometry); Incremental learning,Forgetting; Point cloud; Computer science; Object (grammar); Discriminative model; Artificial intelligence; Representation (politics); Geometric data analysis; Centroid; Construct (python library); Point (geometry); Incremental learning
989,https://openalex.org/W4391223676,https://doi.org/10.1038/s41597-024-02920-1,A neuromorphic dataset for tabletop object segmentation in indoor cluttered environment,2024,Scientific Data,Xiaoqian Huang; Sanket Kachole; Abdulla Ayyad; Fariborz Baghaei Naeini; Dimitrios Makris; Yahya Zweiri,10,https://www.nature.com/articles/s41597-024-02920-1.pdf,robot tactile perception object shape reconstruction,15.124,25.124,reason about parts of the object or scene not directly visible,sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Event-based cameras are commonly leveraged to mitigate issues such as motion blur, low dynamic range, and limited time sampling, which plague conventional cameras. However, a lack of dedicated event-based datasets for benchmarking segmentation algorithms, especially those offering critical depth information for occluded scenes, has been observed. In response, this paper introduces a novel Event-based Segmentation Dataset (ESD), a high-quality event 3D spatial-temporal dataset designed for indoor object segmentation within cluttered environments. ESD encompasses 145 sequences featuring 14,166 manually annotated RGB frames, along with a substantial event count of 21.88 million and 20.80 million events from two stereo-configured event-based cameras. Notably, this densely annotated 3D spatial-temporal event-based segmentation benchmark for tabletop objects represents a pioneering initiative, providing event-wise depth, and annotated instance labels, in addition to corresponding RGBD frames. By releasing ESD, our aim is to offer the research community a challenging segmentation benchmark of exceptional quality.",Segmentation; Computer science; Benchmark (surveying); Artificial intelligence; Event (particle physics); Benchmarking; Computer vision; Object (grammar); Motion blur; Pattern recognition (psychology); Cartography; Geography,Segmentation; Computer science; Benchmark (surveying); Artificial intelligence; Event (particle physics); Benchmarking; Computer vision; Object (grammar); Motion blur; Pattern recognition (psychology); Cartography; Geography
990,https://openalex.org/W4399978538,https://doi.org/10.3390/diagnostics14131333,Exploring Augmented Reality Integration in Diagnostic Imaging: Myth or Reality?,2024,Diagnostics,Andrea Lastrucci; Yannick Wandael; Angelo Barra; Renzo Ricci; Giovanni Maccioni; Antonia Pirrera; Daniele Giansanti,50,https://www.mdpi.com/2075-4418/14/13/1333/pdf?version=1719190544,robot tactile perception object shape reconstruction,15.123,15.123,support robot perception/manipulation with tactile or contact information,active exploration,the uncertainty objective rewards global information rather than specifically attacking visual occlusion equivalence classes,"touch action library, cost model, candidate hypothesis representation",may spend touches on easy high-variance regions instead of ambiguity-breaking contact surfaces,choosing touches to reduce uncertainty,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"This study delves into the transformative potential of integrating augmented reality (AR) within imaging technologies, shedding light on this evolving landscape. Through a comprehensive narrative review, this research uncovers a wealth of literature exploring the intersection between AR and medical imaging, highlighting its growing prominence in healthcare. AR's integration offers a host of potential opportunities to enhance surgical precision, bolster patient engagement, and customize medical interventions. Moreover, when combined with technologies like virtual reality (VR), artificial intelligence (AI), and robotics, AR opens up new avenues for innovation in clinical practice, education, and training. However, amidst these promising prospects lie numerous unanswered questions and areas ripe for exploration. This study emphasizes the need for rigorous research to elucidate the clinical efficacy of AR-integrated interventions, optimize surgical workflows, and address technological challenges. As the healthcare landscape continues to evolve, sustained research efforts are crucial to fully realizing AR's transformative impact in medical imaging. Systematic reviews on AR in healthcare also overlook regulatory and developmental factors, particularly in regard to medical devices. These include compliance with standards, safety regulations, risk management, clinical validation, and developmental processes. Addressing these aspects will provide a comprehensive understanding of the challenges and opportunities in integrating AR into clinical settings, informing stakeholders about c",Augmented reality; Mythology; Consensus reality; Virtual reality; Computer-mediated reality; Mixed reality; Psychology; Computer science; Humancomputer interaction; Art; Aesthetics; Literature,Augmented reality; Mythology; Consensus reality; Virtual reality; Computer-mediated reality; Mixed reality; Psychology; Computer science; Humancomputer interaction; Art; Aesthetics; Literature
991,https://openalex.org/W4415619194,https://doi.org/10.3390/agronomy15112498,Key Technologies of Robotic Arms in Unmanned Greenhouse,2025,Agronomy,Songchao Zhang; Tianxi Liu; Xiang Li; Cai Chen; Chun Chang; Xinyu Xue,4,https://www.mdpi.com/2073-4395/15/11/2498/pdf?version=1761657135,robot tactile occlusion hidden geometry manipulation,15.097,15.097,support robot perception/manipulation with tactile or contact information,active exploration,the uncertainty objective rewards global information rather than specifically attacking visual occlusion equivalence classes,"touch action library, cost model, candidate hypothesis representation",may spend touches on easy high-variance regions instead of ambiguity-breaking contact surfaces,choosing touches to reduce uncertainty,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"As a pioneering solution for precision agriculture, unmanned, robotics-centred greenhouse farms have become a key technological pathway for intelligent upgrades. The robotic arm is the core unit responsible for achieving full automation, and the level of technological development of this unit directly affects the productivity and intelligence of these farms. This review aims to systematically analyze the current applications, challenges, and future trends of robotic arms and their key technologies within unmanned greenhouse. The paper systematically classifies and compares the common types of robotic arms and their mobile platforms used in greenhouses. It provides an in-depth exploration of the core technologies that support efficient manipulator operation, focusing on the design evolution of end-effectors and the perception algorithms for plants and fruit. Furthermore, it elaborates on the framework for integrating individual robots into collaborative systems analyzing typical application cases in areas such as plant protection and fruit and vegetable harvesting. The review concludes that greenhouse robotic arm technology is undergoing a profound transformation evolving from single-function automation towards system-level intelligent integration. Finally, it discusses the future development directions highlighting the importance of multi-robot systems, swarm intelligence, and air-ground collaborative frameworks incorporating unmanned aerial vehicles (UAVs) in overcoming current limitations and achieving fully autonomous greenhouses.",Automation; Key (lock); Systems engineering; Greenhouse; Robot; Computer science; Productivity; Engineering; Unit (ring theory); Emerging technologies; Robotic arm; Robotics,Automation; Key (lock); Greenhouse; Robot; Productivity; Unit (ring theory); Emerging technologies
992,https://openalex.org/W65758319,,Does flat mean slow? LCD monitors and their temporal precision for visual experiments,2007,MPG.PuRe (Max Planck Society),Tobias Elze; Timm Lochmann; TG Tanner,4,http://hdl.handle.net/11858/00-001M-0000-0013-CC5B-8,robot tactile occlusion hidden geometry manipulation,15.097,15.097,estimate object pose or state under partial/contact observations,pose/state estimation; visuotactile fusion; learning/control,"object geometry is sufficiently known or visually initialized before contact estimation starts | vision and touch provide complementary features over one shared latent object, not competing censoring processes","object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | can fuse features while leaving the vision-censored ambiguity structurally intact,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Up to now, the vast majority of psychophysical experiments requiring a high precision of visual stimuli are performed on cathode-ray-tube (CRT) monitors. These devices have been standard computer monitors for decades, and their temporal characteristics are well known. However, the production of most CRT monitors lines has been discontinued owing to the wide adoption of flat liquid-crystal-display (LCD) panels for most applications. On the other hand, many experimenters still avoid using LCD monitors as their display characteristics have not yet been assessed for psychophysical purposes. This work, based on systematic measurements of different LCD panels, assesses the usability of LCD monitors in vision research with regard to their temporal precision. We compared the signals of CRT monitors with those of current LCD technologies. While timing precision and controllability of LCD monitors still lags behind those of CRT devices, technologies such as amp;amp;lsquo;Overdriveamp ;amp;amp ;lsquo; allow pe rforming visual experiments with tolerably high precision if certain conditions are taken into account. Advise is given on selecting the best-matching technology.",Liquid-crystal display; Computer science; Computer vision; Artificial intelligence; Computer graphics (images); Optics; Physics,Liquid-crystal display; Computer science; Computer vision; Artificial intelligence; Computer graphics (images); Optics; Physics
993,https://openalex.org/W2346998452,,Computer Vision and Kinematic Sensing in Robotics,2001,Lund University Publications Student Papers (Lund University),Duarte Mendonca; Luis Conde Bento,4,http://lup.lub.lu.se/student-papers/record/8848262,robot tactile perception object shape reconstruction,15.097,15.097,support robot perception/manipulation with tactile or contact information,visuotactile fusion; learning/control,"vision and touch provide complementary features over one shared latent object, not competing censoring processes | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable","camera visibility, time synchronization, shared latent representation, training distribution",can fuse features while leaving the vision-censored ambiguity structurally intact | can succeed in-distribution while failing under adversarial hidden geometry swaps,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"To use vision in a robotic setting it is important to achieve realtime performance. Real-time vision may be used to directly steer robots using for instance visual servoing techniques. In this thesis, an experimental vision setup using a stereo rig mounted on an industrial robot (ABB Irb-6) was built from ground up and then used to perform two experiments; visual servoing and collection of data for calibration of stereo rig and positioning of second robot (ABB Irb-2000) using visual feedback. The system is currently capable of achieving a ~15Hz visual feedback rate which could be easily extended into the 20Hz domain.",Visual servoing; Artificial intelligence; Computer vision; Robotics; Robot; Computer science; Visual control; Kinematics; Stereopsis; Machine vision; Classical mechanics; Physics,Visual servoing; Artificial intelligence; Computer vision; Robotics; Robot; Computer science; Visual control; Kinematics; Stereopsis; Machine vision
994,https://openalex.org/W4283649927,https://doi.org/10.3390/app12136510,Multimodal Natural HumanComputer Interfaces for Computer-Aided Design: A Review Paper,2022,Applied Sciences,Hongwei Niu; Cees van Leeuwen; Jia Hao; Guoxin Wang; Thomas Lachmann,46,https://www.mdpi.com/2076-3417/12/13/6510/pdf?version=1656496771,robot tactile occlusion hidden geometry manipulation,15.016,15.016,estimate object pose or state under partial/contact observations,pose/state estimation; shape reconstruction; visuotactile fusion,object geometry is sufficiently known or visually initialized before contact estimation starts | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Computer-aided design (CAD) systems have advanced to become a critical tool in product design. Nevertheless, they still primarily rely on the traditional mouse and keyboard interface. This limits the naturalness and intuitiveness of the 3D modeling process. Recently, a multimodal humancomputer interface (HCI) has been proposed as the next-generation interaction paradigm. Widening the use of a multimodal HCI provides new opportunities for realizing natural interactions in 3D modeling. In this study, we conducted a literature review of a multimodal HCI for CAD to summarize the state-of-the-art research and establish a solid foundation for future research. We explore and categorize the requirements for natural HCIs and discuss paradigms for their implementation in CAD. Following this, factors to evaluate the system performance and user experience of a natural HCI are summarized and analyzed. We conclude by discussing challenges and key research directions for a natural HCI in product design to inspire future studies.",Humancomputer interaction; Computer science; Natural (archaeology); Naturalness; Interface (matter); User interface; Multimodal interaction; Archaeology; Bubble; Parallel computing; Maximum bubble pressure method; History,Humancomputer interaction; Computer science; Natural (archaeology); Naturalness; Interface (matter); User interface; Multimodal interaction
995,https://openalex.org/W7160671035,,Velox: Learning Representations of 4D Geometry and Appearance,2026,ArXiv.org,Anagh Malik; Dorian Chan; Xiaoming Zhao; David B. Lindell; Oncel Tuzel; Jen-Hao Rick Chang,0,https://arxiv.org/pdf/2605.04527,robot tactile occlusion hidden geometry manipulation,15.0,20.0,"recover object geometry from touch, vision, or multimodal observations",pose/state estimation; shape reconstruction; learning/control,object geometry is sufficiently known or visually initialized before contact estimation starts | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"We introduce a framework for learning latent representations of 4D objects which are descriptive, faithfully capturing object geometry and appearance; compressive, aiding in downstream efficiency; and accessible, requiring minimal input, i.e., an unstructured dynamic point cloud, to construct. Specifically, Velox trains an encoder to compress spatiotemporal color point clouds into a set of dynamic shape tokens. These tokens are supervised using two complementary decoders: a 4D surface decoder, which models the time-varying surface distribution capturing the geometry; and a Gaussian decoder, which maps the tokens to 3D Gaussians, helping learn appearance. To demonstrate the utility of our representation, we evaluate it across three downstream tasks -- video-to-4D generation, 3D tracking, and cloth simulation via image-to-4D generation -- and observe strong performances in all settings.",Computer science; Artificial intelligence; Object (grammar); Point cloud; Set (abstract data type); Computer vision; Point (geometry); Encoder; Surface (topology); Gaussian; Point distribution model; Pattern recognition (psychology),Object (grammar); Point cloud; Set (abstract data type); Point (geometry); Encoder; Surface (topology); Gaussian; Point distribution model
996,https://openalex.org/W2099019320,https://doi.org/10.1016/s0921-8890(02)00372-x,A survey of socially interactive robots,2003,Robotics and Autonomous Systems,Terrence Fong; Illah Nourbakhsh; Kerstin Dautenhahn,3110,https://www.sciencedirect.com/science/article/pii/S092188900200372X,robot tactile perception object shape reconstruction,15.0,15.0,support robot perception/manipulation with tactile or contact information,active exploration,the uncertainty objective rewards global information rather than specifically attacking visual occlusion equivalence classes,"touch action library, cost model, candidate hypothesis representation",may spend touches on easy high-variance regions instead of ambiguity-breaking contact surfaces,choosing touches to reduce uncertainty,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,,Robot; Computer science; Humancomputer interaction; Robotics; Taxonomy (biology); Context (archaeology); Humanrobot interaction; Artificial intelligence; Biology; Botany; Paleontology,Robot; Computer science; Humancomputer interaction; Robotics; Taxonomy (biology); Context (archaeology); Humanrobot interaction; Artificial intelligence
997,https://openalex.org/W4389331905,https://doi.org/10.1109/access.2023.3339555,Review on Sensors and Components Used in Robotic Surgery: Recent Advances and New Challenges,2023,IEEE Access,Sharad Dinesh; Umesh Kumar Sahu; Dameshwari Sahu; Santanu Kumar Dash; Umesh Kumar Yadav,9,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10343111.pdf,robot tactile perception object shape reconstruction,15.0,15.0,build or exploit tactile sensing for robot perception,sensor/dataset; learning/control,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"sensor calibration, object rigidity, training distribution, task geometry",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can succeed in-distribution while failing under adversarial hidden geometry swaps,new tactile datasets or sensors as the core contribution,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Surgical robots have been used for many years in the field of medical sciences and engineering. With sophisticated technology governing the world in recent years, surgical robots have benefited from the addition of sensors, actuators, and intelligent control systems, allowing them to function at high precision along with more efficiency. The focus of this study is to present a brief review of sensors and components utilized in robotic surgery that have been studied in recent literature. In the present study, initially, a brief history of robotic surgery is presented, followed by a review on sensors and components in robotic surgery that can be informative for engineers or researchers while designing surgical robots for specific applications. Consequently, highlights of recent trends in the technological advancements in surgical robots have been presented. Further, the paper concludes with recent advances and new challenges in the development of surgical robots.",Robot; Surgical robot; Robotic surgery; Computer science; Field (mathematics); Robotics; Actuator; Systems engineering; Artificial intelligence; Engineering; Pure mathematics; Mathematics,Robot; Surgical robot; Robotic surgery; Computer science; Field (mathematics); Robotics; Actuator; Systems engineering; Artificial intelligence; Engineering
998,https://openalex.org/W4395443572,https://doi.org/10.1145/3640471.3680244,Vision Beyond Boundaries: An Initial Design Space of Domain-specific Large Vision Models in Human-robot Interaction,2024,arXiv (Cornell University),Yuchong Zhang; Yong Ma; Danica Kragic,9,https://arxiv.org/pdf/2404.14965,robot tactile perception object shape reconstruction,15.0,15.0,support robot perception/manipulation with tactile or contact information,visuotactile fusion,"vision and touch provide complementary features over one shared latent object, not competing censoring processes","camera visibility, time synchronization, shared latent representation, training distribution",can fuse features while leaving the vision-censored ambiguity structurally intact,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"The emergence of large vision models (LVMs) is following in the footsteps of the recent prosperity of Large Language Models (LLMs) in following years. However, theres a noticeable gap in structured research applying LVMs to human-robot interaction (HRI), despite extensive evidence supporting the efficacy of vision models in enhancing interactions between humans and robots. Recognizing the vast and anticipated potential, we introduce an initial design space that incorporates domain-specific LVMs, chosen for their superior performance over normal models. We delve into three primary dimensions: HRI contexts, vision-based tasks, and specific domains. The empirical evaluation was implemented among 15 experts across five evaluated metrics, showcasing the primary efficacy in relevant decision-making scenarios. We explore the process of ideation and potential application scenarios, envisioning this design space as a foundational guideline for future HRI system design, emphasizing accurate domain alignment and model selection.",Computer vision; Space (punctuation); Domain (mathematical analysis); Artificial intelligence; Computer science; Robot; Humancomputer interaction; Machine vision; Humanrobot interaction; Mathematics; Mathematical analysis; Operating system,Computer vision; Space (punctuation); Domain (mathematical analysis); Artificial intelligence; Computer science; Robot; Humancomputer interaction; Machine vision; Humanrobot interaction; Mathematics; Mathematical analysis
999,https://openalex.org/W7161204686,,World Action Models: The Next Frontier in Embodied AI,2026,ArXiv.org,Siyin Wang; Junhao Shi; Zhaoyang Fu; Xinzhe He; Feihong Liu; Chenchen Yang; Yikang Zhou; Zhaoye Fei,0,https://arxiv.org/pdf/2605.12090,robot tactile occlusion hidden geometry manipulation,15.0,15.0,support robot perception/manipulation with tactile or contact information,visuotactile fusion; active exploration; learning/control,"vision and touch provide complementary features over one shared latent object, not competing censoring processes | the uncertainty objective rewards global information rather than specifically attacking visual occlusion equivalence classes","camera visibility, time synchronization, shared latent representation, training distribution",can fuse features while leaving the vision-censored ambiguity structurally intact | may spend touches on easy high-variance regions instead of ambiguity-breaking contact surfaces,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Vision-Language-Action (VLA) models have achieved strong semantic generalization for embodied policy learning, yet they learn reactive observation-to-action mappings without explicitly modeling how the physical world evolves under intervention. A growing body of work addresses this limitation by integrating world models, predictive models of environment dynamics, into the action generation pipeline. We term this emerging paradigm World Action Models (WAMs): embodied foundation models that unify predictive state modeling with action generation, targeting a joint distribution over future states and actions rather than actions alone. However, the literature remains fragmented across architectures, learning objectives, and application scenarios, lacking a unified conceptual framework. We formally define WAMs and disambiguate them from related concepts, and trace the foundations and early integration of VLA and world model research that gave rise to this paradigm. We organize existing methods into a structured taxonomy of Cascaded and Joint WAMs, with further subdivision by generation modality, conditioning mechanism, and action decoding strategy. We systematically analyze the data ecosystem fueling WAMs development, spanning robot teleoperation, portable human demonstrations, simulation, and internet-scale egocentric video, and synthesize emerging evaluation protocols organized around visual fidelity, physical commonsense, and action plausibility. Overall, this survey provides the first systematic account of the WAMs landscape, clarifies key architectural paradigms and their tr",Embodied cognition; Computer science; Action (physics); Artificial intelligence; TRACE (psycholinguistics); Robot; Data science; Cognitive science; Key (lock); Humancomputer interaction; Management science; Taxonomy (biology),Embodied cognition; Action (physics); TRACE (psycholinguistics); Robot; Key (lock); Taxonomy (biology)
1000,https://openalex.org/W4361027523,https://doi.org/10.1016/j.autcon.2023.104845,A multidimensional taxonomy for human-robot interaction in construction,2023,Automation in Construction,Patrick Borges Rodrigues; Rashmi Singh; Mert Oytun; Pooya Adami; Peter J. Woods; Burcin Becerik-Gerber; Lucio Soibelman; Yasemin CopurGencturk,45,https://nottingham-repository.worktribe.com/file/18683801/1/Review%203%20HRI%20Construction%20Taxonomy%20CLEAN,robot tactile perception object shape reconstruction,14.988,14.988,support robot perception/manipulation with tactile or contact information,sensor/dataset,tactile observations are treated as labeled examples rather than interventions that change what can be inferred,"sensor calibration, object rigidity, training distribution, task geometry",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects,new tactile datasets or sensors as the core contribution,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,,Benchmarking; Taxonomy (biology); Robotics; Artificial intelligence; Construction industry; Robot; Humanrobot interaction; Engineering; Computer science; Systematic review; Humancomputer interaction; Knowledge management,Benchmarking; Taxonomy (biology); Robotics; Artificial intelligence; Construction industry; Robot; Humanrobot interaction; Engineering; Computer science; Systematic review; Humancomputer interaction; Knowledge management
